Province,ECD_Name,Clasification,Service Type,newOrRenewal,Registration Type,Partial Care Registration (PCR) Status,PCR Level,PCR Certificate Number,PCR issueDate,PCR expiryDate,Prog Registration Status,Prog Registration Level,Prog Registration issueDate,Prog Registration expiryDate,Prog Certificate Number,Land Owner,Building Owner,District Name,Fee Level,No. Children Enrolled,Equitable Share Subsidy,Children Subsidised Equitable Share,Conditional Grant Subsidy,Children Subsided Conditional Grant
Southern Cape,ECD 258,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 2,2,90,No,,No,
Southern Cape,ECD 259,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC13/00,2022/03/28,2023/03/31,Conditionally registered,BRONZE,2022/03/28,2023/03/31,,Community Centre,Community Centre,Disitrct 1,1,28,Yes,35,Yes,35
Southern Cape,ECD 260,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Municipality,Municipality,Disitrct 2,2,50,No,,No,
Southern Cape,ECD 261,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,24,No,,No,
Southern Cape,ECD 262,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC5/01,2018/06/07,2023/06/13,Conditionally registered,BRONZE,2018/06/07,2023/06/13,,Community Centre,Community Centre,Disitrct 2,2,10,No,,No,
Southern Cape,ECD 263,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,35,No,,No,
Southern Cape,ECD 264,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 2,2,16,No,,No,
Southern Cape,ECD 265,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC 78/07,2019/03/19,2022/03/30,Lapsed registration,SILVER,2019/03/19,2022/03/30,,Community Centre,Community Centre,Disitrct 3,2,10,No,,No,
Southern Cape,ECD 266,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC23/00,2019/03/27,2024/03/31,Conditionally registered,SILVER,2019/03/27,2024/03/31,,Municipality,Municipality,Disitrct 1,1,33,Yes,40,Yes,40
Southern Cape,ECD 267,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC60/07,2021/06/24,2026/06/30,Fully registered,GOLD,2021/06/24,2026/06/30,,The ECD Programme,The ECD Programme,Disitrct 3,1,62,No,,Yes,47
Southern Cape,ECD 268,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC12/98,2022/03/28,2023/03/31,Conditionally registered,BRONZE,2022/03/28,2023/03/31,,The ECD Programme,The ECD Programme,Disitrct 1,1,72,Yes,94,Yes,94
Southern Cape,ECD 269,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 5,2,10,No,,No,
Southern Cape,ECD 270,Centre based,ECD centre,,,In process,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,2,47,No,,No,
Southern Cape,ECD 271,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC19/97,2019/03/27,2024/03/31,Conditionally registered,BRONZE,2019/03/27,2024/03/31,,Community Centre,Community Centre,Disitrct 1,1,42,No,,Yes,80
Southern Cape,ECD 272,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 13/19,2019/03/25,2024/07/31,Conditionally registered,BRONZE,2019/03/25,2024/07/31,,Not-for profit organisation,Not-for profit organisation,Disitrct 1,1,96,No,,Yes,27
Southern Cape,ECD 273,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,2,30,No,,No,
Southern Cape,ECD 274,Centre based,ECD centre,,Non-Centre Based ECD Programme,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,4,25,No,,No,
Southern Cape,ECD 275,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 25/97,2019/03/27,2024/03/31,Conditionally registered,BRONZE,2019/03/27,2024/03/31,,,,Disitrct 1,1,,Yes,32,Yes,32
Southern Cape,ECD 276,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC25/08,2022/02/15,2027/03/31,Conditionally registered,BRONZE,2022/02/15,2027/03/31,,Municipality,Municipality,Disitrct 1,1,38,No,,Yes,37
Southern Cape,ECD 277,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,19,No,,No,
Southern Cape,ECD 278,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,1,12,No,,No,
Southern Cape,ECD 279,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 3,4,112,No,,No,
Southern Cape,ECD 280,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,4,5,No,,No,
Southern Cape,ECD 281,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,10,No,,No,
Southern Cape,ECD 282,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,23,No,,No,
Southern Cape,ECD 283,,,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 01/21,2021/01/14,2024/01/30,Conditionally registered,SILVER,2021/01/14,2024/01/30,,,,Disitrct 2,1,,Yes,22,No,
Southern Cape,ECD 284,,,,,,,,,,,,,,,,,Disitrct 2,,,No,,No,
Southern Cape,ECD 285,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Communal land (traditional),The ECD Programme,Disitrct 3,2,102,No,,No,
Southern Cape,ECD 286,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,103,No,,No,
Southern Cape,ECD 287,,,Renewal,ECD Programme in Partial Care Facility,In process,,DC01/23,,,In process,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 288,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,31,No,,No,
Southern Cape,ECD 289,Centre based,ECD centre,,,Lapsed registration,,,,,Lapsed registration,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,30,No,,No,
Southern Cape,ECD 290,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 89/07,2022/02/28,2025/02/28,Conditionally registered,SILVER,2022/02/28,2025/02/28,,The ECD Programme,The ECD Programme,Disitrct 3,1,34,No,,Yes,31
Southern Cape,ECD 291,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,28,No,,No,
Southern Cape,ECD 292,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 293,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 11/13,2021/10/18,2024/10/31,Conditionally registered,SILVER,2021/10/18,2024/10/31,,Municipality,Municipality,Disitrct 5,1,28,No,,Yes,28
Southern Cape,ECD 294,Centre based,ECD centre,,,Not registered,,DC 05/07,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,14,No,,No,
Southern Cape,ECD 295,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,1,14,No,,No,
Southern Cape,ECD 296,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,8,No,,No,
Southern Cape,ECD 297,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,8,No,,No,
Southern Cape,ECD 298,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,2,6,No,,No,
Southern Cape,ECD 299,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,1,6,No,,No,
Southern Cape,ECD 300,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC30/06,2018/05/31,2022/09/30,Lapsed registration,GOLD,2018/05/31,2022/09/30,,Community Centre,Community Centre,Disitrct 4,1,12,Yes,10,Yes,10
Southern Cape,ECD 301,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 4,3,12,No,,No,
Southern Cape,ECD 302,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 2,4,26,No,,No,
Southern Cape,ECD 303,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,4,87,No,,No,
Southern Cape,ECD 304,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,16,No,,No,
Southern Cape,ECD 305,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 4,3,10,No,,No,
Southern Cape,ECD 306,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 5,1,25,No,,No,
Southern Cape,ECD 307,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 4,5,4,No,,No,
Southern Cape,ECD 308,,,,,,,,,,,,,,,,,,,,No,,No,
Southern Cape,ECD 309,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,10,No,,No,
Southern Cape,ECD 310,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,,,Disitrct 5,1,,No,,No,
Southern Cape,ECD 311,Centre based,ECD centre,,,In process,,,,,In process,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,15,No,,No,
Southern Cape,ECD 312,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,4,No,,No,
Southern Cape,ECD 313,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 05/20,2020/10/07,2023/10/30,Conditionally registered,SILVER,2020/10/07,2023/10/30,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,4,64,No,,No,
Southern Cape,ECD 314,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,3,5,No,,No,
Southern Cape,ECD 315,,Mobile ECD programme,,,Not registered,,,,,Not registered,,,,,,,Disitrct 5,1,,No,,No,
Southern Cape,ECD 316,,,Renewal,ECD Programme in Partial Care Facility,Fully registered,GOLD,DC21/08,2019/11/11,2024/11/30,Fully registered,GOLD,2019/11/11,2024/11/30,,,,Disitrct 4,1,,Yes,13,Yes,13
Southern Cape,ECD 317,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 1,2,45,No,,No,
Southern Cape,ECD 318,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Private business,Disitrct 5,4,78,No,,No,
Southern Cape,ECD 319,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 5,4,30,No,,No,
Southern Cape,ECD 320,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,4,3,No,,No,
Southern Cape,ECD 321,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC34/97,2022/03/31,2027/03/31,Conditionally registered,BRONZE,2022/03/31,2027/03/31,,Municipality,Municipality,Disitrct 1,1,18,Yes,18,Yes,18
Southern Cape,ECD 322,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC01/16,2022/03/31,2027/03/31,Conditionally registered,BRONZE,2022/03/31,2027/03/31,,Municipality,Municipality,Disitrct 1,1,33,Yes,33,Yes,33
Southern Cape,ECD 323,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,Dc16/06,2021/06/15,2026/06/30,Conditionally registered,SILVER,2021/06/15,2026/06/30,,Municipality,Municipality,Disitrct 4,1,31,Yes,37,Yes,37
Southern Cape,ECD 324,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 4,1,16,No,,No,
Southern Cape,ECD 325,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 5,4,54,No,,No,
Southern Cape,ECD 326,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 5,4,70,No,,No,
Southern Cape,ECD 327,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 5,1,20,No,,No,
Southern Cape,ECD 328,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Community Centre,Community Centre,Disitrct 3,1,24,No,,No,
Southern Cape,ECD 329,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,1,20,Yes,20,No,
Southern Cape,ECD 330,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,30,No,,No,
Southern Cape,ECD 331,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,109,No,,No,
Southern Cape,ECD 332,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,4,36,No,,No,
Southern Cape,ECD 333,Non-centre based,Toy library,,,In process,,,,,In process,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,,No,,No,
Southern Cape,ECD 334,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 2,4,60,No,,No,
Southern Cape,ECD 335,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 5,1,32,No,,No,
Southern Cape,ECD 336,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,4,46,No,,No,
Southern Cape,ECD 337,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Private business,Disitrct 5,5,52,No,,No,
Southern Cape,ECD 338,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC10/19,2019/03/25,2024/07/31,Conditionally registered,BRONZE,2019/03/25,2024/07/31,,The ECD Programme,The ECD Programme,Disitrct 1,1,43,Yes,41,Yes,41
Southern Cape,ECD 339,Centre based,ECD centre,,,In process,,,,,In process,,,,,The ECD Programme,The ECD Programme,Disitrct 2,4,16,No,,No,
Southern Cape,ECD 340,,,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 341,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,DC 08/99,2019/07/22,2024/07/31,Conditionally registered,BRONZE,2019/07/22,2024/07/31,,Municipality,Community Centre,Disitrct 5,2,63,Yes,36,Yes,36
Southern Cape,ECD 342,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,1,25,No,,No,
Southern Cape,ECD 343,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,1,43,No,,No,
Southern Cape,ECD 344,Centre based,ECD centre,,,In process,,,,,In process,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,28,No,,No,
Southern Cape,ECD 345,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 5,4,15,No,,No,
Southern Cape,ECD 346,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC 17/09,2021/06/24,2024/06/30,Conditionally registered,SILVER,2021/06/24,2024/06/30,,Municipality,Municipality,Disitrct 5,1,64,Yes,57,Yes,57
Southern Cape,ECD 347,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,4,No,,No,
Southern Cape,ECD 348,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,2,26,No,,No,
Southern Cape,ECD 349,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,10,No,,No,
Southern Cape,ECD 350,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Other government institution (not municipality),Other government institution (not municipality),Disitrct 2,2,39,No,,No,
Southern Cape,ECD 351,Centre based,ECD centre,,,,,,,,,,,,,Communal land (traditional),Community Centre,Disitrct 3,2,23,No,,No,
Southern Cape,ECD 352,Centre based,ECD centre,,,In process,,,,,In process,,,,,The ECD Programme,The ECD Programme,Disitrct 3,2,13,No,,No,
Southern Cape,ECD 353,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,2,44,No,,No,
Southern Cape,ECD 354,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 3,1,20,No,,No,
Southern Cape,ECD 355,,,,,Not registered,,,,,Not registered,,,,,,,Disitrct 1,1,,No,,No,
Southern Cape,ECD 356,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 357,Centre based,ECD centre,New,ECD Programme in Partial Care Facility,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,1,14,No,,No,
Southern Cape,ECD 358,Centre based,ECD centre,,,In process,,,,,In process,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,4,7,No,,No,
Southern Cape,ECD 359,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,6,No,,No,
Southern Cape,ECD 360,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,5,20,No,,No,
Southern Cape,ECD 361,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,5,84,No,,No,
Southern Cape,ECD 362,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,BRONZE,,2020/10/07,2022/10/30,Lapsed registration,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,64,No,,No,
Southern Cape,ECD 363,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,3,35,No,,No,
Southern Cape,ECD 364,,,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,SILVER,DC 16/19,2020/03/03,2023/01/30,Lapsed registration,SILVER,2020/03/03,2023/01/30,,,,Disitrct 5,1,,Yes,32,Yes,32
Southern Cape,ECD 365,Centre based,ECD centre,,,In process,,,,,In process,,,,,The ECD Programme,The ECD Programme,Disitrct 3,3,64,No,,No,
Southern Cape,ECD 366,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 1,4,12,No,,No,
Southern Cape,ECD 367,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,25,No,,No,
Southern Cape,ECD 368,Centre based,ECD centre,,,Not registered,,,,,In process,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 2,3,19,No,,No,
Southern Cape,ECD 369,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 1,2,42,No,,No,
Southern Cape,ECD 370,Centre based,ECD centre,,,Not registered,,,,,In process,,,,,Municipality,Municipality,Disitrct 2,2,7,No,,No,
Southern Cape,ECD 371,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 372,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,School,School,Disitrct 3,1,16,No,,No,
Southern Cape,ECD 373,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 2,2,3,No,,No,
Southern Cape,ECD 374,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,29,No,,No,
Southern Cape,ECD 375,Centre based,ECD centre,,,In process,,,,,In process,,,,,Not-for profit organisation,Not-for profit organisation,Disitrct 2,4,5,No,,No,
Southern Cape,ECD 376,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 4,3,16,No,,No,
Southern Cape,ECD 377,Centre based,ECD centre,,,In process,,,,,In process,,,,,Another private individual,Another private individual,Disitrct 2,5,5,No,,No,
Southern Cape,ECD 378,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,BRONZE,DC02/14,2020/11/09,2022/11/30,Lapsed registration,BRONZE,2020/11/09,2022/11/30,,Not-for profit organisation,Not-for profit organisation,Disitrct 5,1,13,Yes,8,Yes,8
Southern Cape,ECD 379,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC47/06,2019/04/27,2021/11/30,Lapsed registration,GOLD,2019/04/27,2021/11/30,,Municipality,Municipality,Disitrct 4,1,40,No,,No,
Southern Cape,ECD 380,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC 02/03,,,Lapsed registration,,,,,Municipality,Municipality,Disitrct 5,1,26,No,,No,
Southern Cape,ECD 381,Non-centre based,Playgroup,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,,DC 06/15,,,Lapsed registration,,,,,School,School,Disitrct 4,3,14,No,,No,
Southern Cape,ECD 382,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 4,3,10,No,,No,
Southern Cape,ECD 383,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Other,Other,Disitrct 1,1,12,No,,No,
Southern Cape,ECD 384,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 2,5,91,No,,No,
Southern Cape,ECD 385,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,Another private individual,Disitrct 1,2,18,No,,No,
Southern Cape,ECD 386,Centre based,ECD centre,,,Conditionally registered,SILVER,DC 07/20,2020/11/20,2023/11/30,Conditionally registered,SILVER,2020/11/20,2023/11/30,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 1,4,32,No,,No,
Southern Cape,ECD 387,Centre based,ECD centre,,,In process,,,,,In process,,,,,Private business,Other,Disitrct 3,5,35,No,,No,
Southern Cape,ECD 388,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,4,75,No,,No,
Southern Cape,ECD 389,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,BRONZE,Dc50/06,2022/04/28,2027/03/31,Conditionally registered,BRONZE,2022/04/28,2027/03/31,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 4,1,19,Yes,15,Yes,15
Southern Cape,ECD 390,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,Community Centre,Community Centre,Disitrct 3,1,70,No,,No,
Southern Cape,ECD 391,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Private business,Private business,Disitrct 5,3,,No,,No,
Southern Cape,ECD 392,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Lapsed registration,GOLD,DC 26/06,2017/09/27,2022/09/30,Lapsed registration,GOLD,2017/09/27,2022/09/30,,Municipality,Municipality,Disitrct 4,1,11,Yes,15,Yes,15
Southern Cape,ECD 393,Centre based,ECD centre,,,,,,,,,,,,,,,Disitrct 3,1,,No,,No,
Southern Cape,ECD 394,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Conditionally registered,SILVER,DC99/07,2021/06/10,2024/06/30,Conditionally registered,SILVER,2021/06/10,2024/06/30,,Another private individual,Another private individual,Disitrct 5,1,40,No,,Yes,42
Southern Cape,ECD 395,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,The ECD Programme,The ECD Programme,Disitrct 3,1,31,No,,No,
Southern Cape,ECD 396,Centre based,ECD centre,,,Lapsed registration,,,,,Lapsed registration,,,,,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,2,22,No,,No,
Southern Cape,ECD 397,Centre based,ECD centre,,,Fully registered,,,,,Fully registered,,,,,The ECD Programme,The person in charge of the programme (e.g. principal  matron  child-minder  playgroup leader),Disitrct 3,1,18,No,,No,
Southern Cape,ECD 398,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Another private individual,The ECD Programme,Disitrct 3,2,22,No,,No,
Southern Cape,ECD 399,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Municipality,Municipality,Disitrct 3,2,22,No,,No,
Southern Cape,ECD 400,Centre based,ECD centre,,,Not registered,,,,,Not registered,,,,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 5,4,8,No,,No,
Southern Cape,ECD 401,Centre based,ECD centre,Renewal,ECD Programme in Partial Care Facility,Fully registered,SILVER,DC09/14,2020/10/29,2023/10/31,Fully registered,SILVER,2020/10/29,2023/10/31,,Religious institution (e.g. church  mosque),Religious institution (e.g. church  mosque),Disitrct 4,1,29,Yes,22,Yes,22
